ID,sequence,objects,coordinates,table_end,start_coordinates,strong_k,mid_k,no_k,food_k,containment,error,length
218,ppfkfkssgg,"p,p,f,k,f,k,s,s,g,g","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);f: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662);s: (0.10966,0.7466,0.505875);s: (0.071911,0.746328,0.519848);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001)","(0.513, -0.531)",,,,,0,,,
220,ppwwoogssffkkg,"p,p,w,w,o,o,g,s,s,f,f,k,k,g","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);g: (-0.595001,1.233,0.468999);s: (0.10966,0.7466,0.505875);s: (0.146585,0.7467189999999999,0.516146);f: (-0.20802600000000002,0.7442439999999999,0.557671);f: (-0.165225,0.7442479999999999,0.557615);k: (0.002996,0.733422,0.533535);k: (-0.07699199999999999,0.733425,0.531662);g: (-0.7159989999999999,1.23301,0.469001)","(0.513, -0.531)",,,,,0,,,
222,pwkf,"p,w,k,f","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w1: (-0.05700499999999999,1.35572,0.46601800000000004);k: (0.002996,0.733422,0.533535);k1: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671);f1: (-0.251825,0.744246,0.557668)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,k,f",0,0,0.605,4
223,gwwppooccoskfsfk,"g,w,w,p,p,o,o,c,c,o,s,k,f,s,f,k","g: (-0.595001,1.233,0.468999);w: (-0.05700499999999999,1.35572,0.46601800000000004);w: (-0.196022,1.35572,0.466005);p: (0.008041,0.9296049999999999,0.68902);p: (0.008034,0.957082,0.6890539999999999);o: (-0.187556,0.9276059999999999,0.4821);o: (-0.186175,0.914906,0.48156499999999997);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);o: (-0.185123,0.9022049999999999,0.4809);s: (0.146585,0.7467189999999999,0.516146);k: (0.002996,0.733422,0.533535);f: (-0.20802600000000002,0.7442439999999999,0.557671);s: (0.10966,0.7466,0.505875);f: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651)","(0.513, -0.531)",,,,,0,,,
226,wwtppcoockfkf,"w,w,t,p,p,c,o,o,c,k,f,k,f","w: (-0.195734,1.35574,0.466135);w: (-0.05700499999999999,1.35572,0.46601800000000004);t: (-0.649,1.52939,0.68);p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);c: (-0.66,0.9232809999999999,0.438);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);k: (-0.030993,0.7334229999999999,0.530651);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.165225,0.7442479999999999,0.557615)","(0.513, -0.531)",,,,,0,,,
229,wwppggfkfkrree,"w,w,p,p,g,g,f,k,f,k,r,r,e,e","w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999);e: (-0.765776,0.742873,0.515548);e: (-0.7940520000000001,0.7428739999999999,0.503884)","(0.513, -0.531)",,,,,0,,,
231,ppococwwtrrfkfkgg,"p,p,o,c,o,c,w,w,t,r,r,f,k,f,k,g,g","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);c: (-0.525007,0.923283,0.438);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.66,0.9232809999999999,0.438);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);t: (-0.649,1.52939,0.68);r: (-0.500441,0.743324,0.5217109999999999);r: (-0.606068,0.743321,0.524829);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);g: (-0.595001,1.233,0.468999);g: (-0.7159989999999999,1.23301,0.469001)","(0.513, -0.531)",,,,,0,,,
233,ppwwooccfksfksrr,"p,p,w,w,o,o,c,c,f,k,s,f,k,s,r,r","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.525007,0.923283,0.438);c: (-0.66,0.9232809999999999,0.438);f: (-0.251825,0.744246,0.557668);k: (-0.07699199999999999,0.733425,0.531662);s: (0.10966,0.7466,0.505875);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.030993,0.7334229999999999,0.530651);s: (0.071911,0.746328,0.519848);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999)","(0.513, -0.531)",,,,,0,,,
235,pwgerks,"p,w,g,e,r,k,s","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);w: (0.083,1.35572,0.466);w1: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.7159989999999999,1.23301,0.469001);g1: (-0.595001,1.233,0.468999);e: (-0.765776,0.742873,0.515548);e1: (-0.7940520000000001,0.7428739999999999,0.503884);r: (-0.500441,0.743324,0.5217109999999999);r1: (-0.606068,0.743321,0.524829);k: (-0.030993,0.7334229999999999,0.530651);k1: (-0.07699199999999999,0.733425,0.531662);s: (0.146585,0.7467189999999999,0.516146);s1: (0.10966,0.7466,0.505875)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,g,e,r,k,s",0,0,0.756,7
239,ppoocctfkfkrrwwg,"p,p,o,o,c,c,t,f,k,f,k,r,r,w,w,g","p: (0.008034,0.957082,0.6890539999999999);p: (0.008041,0.9296049999999999,0.68902);o: (-0.185,0.928,0.48103500000000005);o: (-0.18499200000000002,0.915077,0.481025);c: (-0.7949970000000001,0.9232809999999999,0.438);c: (-0.66,0.9232809999999999,0.438);t: (-0.649,1.52939,0.68);f: (-0.20802600000000002,0.7442439999999999,0.557671);k: (-0.07699199999999999,0.733425,0.531662);f: (-0.165225,0.7442479999999999,0.557615);k: (-0.030993,0.7334229999999999,0.530651);r: (-0.606068,0.743321,0.524829);r: (-0.500441,0.743324,0.5217109999999999);w: (-0.196022,1.35572,0.466005);w: (-0.05700499999999999,1.35572,0.46601800000000004);g: (-0.595001,1.233,0.468999)","(0.513, -0.531)",,,,,0,,,
240,pwfksocr,"p,w,f,k,s,o,c,r","p: (0.008034,0.957082,0.6890539999999999);p1: (0.008041,0.9296049999999999,0.68902);w: (-0.05700499999999999,1.35572,0.46601800000000004);w1: (-0.196022,1.35572,0.466005);f: (-0.20802600000000002,0.7442439999999999,0.557671);f1: (-0.251825,0.744246,0.557668);k: (-0.030993,0.7334229999999999,0.530651);k1: (-0.07699199999999999,0.733425,0.531662);s: (0.10966,0.7466,0.505875);s1: (0.071911,0.746328,0.519848);o: (-0.18499200000000002,0.915077,0.481025);o1: (-0.185,0.928,0.48103500000000005);c: (-0.525007,0.923283,0.438);c1: (-0.66,0.9232809999999999,0.438);r: (-0.500441,0.743324,0.5217109999999999);r1: (-0.606068,0.743321,0.524829)","(0.513, -0.531)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",t,"p,o","w,f,k,s,c,r",0,0,0.785,8
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,0.706137931034483,
