pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,start,sequence,class,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8
plate,glass,fork,cup,spoon,bottle,knife,bowl,left,"'plate', 'cup', 'fork', 'knife', 'spoon', 'bottle', 'glass', 'bowl'",10,plate,cup,fork,knife,spoon,bottle,glass,bowl
glass,knife,plate,bowl,fork,spoon,cup,bottle,center,"'plate', 'bowl', 'cup', 'fork', 'spoon', 'knife', 'glass', 'bottle'",9,plate,bowl,cup,fork,spoon,knife,glass,bottle
spoon,cup,plate,bowl,knife,fork,glass,bottle,center,"'plate', 'bowl', 'fork', 'knife', 'cup', 'spoon', 'glass', 'bottle'",34,plate,bowl,fork,knife,cup,spoon,glass,bottle
bottle,glass,spoon,plate,cup,fork,bowl,knife,center,"'plate', 'cup', 'spoon', 'fork', 'knife', 'bowl', 'glass', 'bottle'",39,plate,cup,spoon,fork,knife,bowl,glass,bottle
cup,glass,spoon,bottle,knife,plate,fork,bowl,center,"'plate', 'knife', 'fork', 'spoon', 'bottle', 'bowl', 'glass', 'cup'",35,plate,knife,fork,spoon,bottle,bowl,glass,cup
cup,fork,glass,spoon,plate,bottle,bowl,knife,center,"'plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle'",45,plate,knife,fork,spoon,glass,cup,bowl,bottle
bottle,glass,cup,fork,spoon,plate,knife,bowl,left,"'plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle'",45,plate,knife,fork,spoon,glass,cup,bowl,bottle
cup,bowl,glass,fork,spoon,knife,plate,bottle,left,"'plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bottle', 'bowl'",21,plate,knife,fork,spoon,glass,cup,bottle,bowl
bowl,knife,glass,fork,bottle,spoon,cup,plate,left,"'plate', 'knife', 'fork', 'bowl', 'spoon', 'cup', 'bottle', 'glass'",50,plate,knife,fork,bowl,spoon,cup,bottle,glass
bowl,plate,knife,bottle,cup,fork,spoon,glass,center,"'plate', 'knife', 'bowl', 'spoon', 'fork', 'glass', 'cup', 'bottle'",51,plate,knife,bowl,spoon,fork,glass,cup,bottle
cup,bowl,fork,bottle,spoon,glass,plate,knife,center,"'plate', 'knife', 'fork', 'bowl', 'spoon', 'cup', 'glass', 'bottle'",41,plate,knife,fork,bowl,spoon,cup,glass,bottle
cup,glass,fork,bowl,spoon,knife,bottle,plate,center,"'plate', 'knife', 'fork', 'spoon', 'bowl', 'glass', 'bottle', 'cup'",46,plate,knife,fork,spoon,bowl,glass,bottle,cup
bowl,bottle,spoon,knife,fork,plate,glass,cup,center,"'plate', 'knife', 'fork', 'spoon', 'bottle', 'glass', 'bowl', 'cup'",18,plate,knife,fork,spoon,bottle,glass,bowl,cup
glass,bottle,knife,plate,cup,fork,spoon,bowl,center,"'plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bottle', 'bowl'",21,plate,knife,fork,spoon,glass,cup,bottle,bowl
plate,knife,spoon,glass,bowl,fork,cup,bottle,right,"'plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bowl', 'bottle'",45,plate,knife,fork,spoon,glass,cup,bowl,bottle
bottle,fork,glass,knife,bowl,spoon,cup,plate,center,"'plate', 'knife', 'fork', 'spoon', 'glass', 'cup', 'bottle', 'bowl'",21,plate,knife,fork,spoon,glass,cup,bottle,bowl
glass,knife,cup,fork,bottle,spoon,plate,bowl,center,"'plate', 'knife', 'fork', 'spoon', 'bottle', 'cup', 'glass', 'bowl'",53,plate,knife,fork,spoon,bottle,cup,glass,bowl
glass,cup,spoon,bottle,plate,knife,bowl,fork,center,"'plate', 'knife', 'fork', 'spoon', 'bowl', 'cup', 'glass', 'bottle'",11,plate,knife,fork,spoon,bowl,cup,glass,bottle
plate,knife,glass,fork,bowl,cup,bottle,spoon,center,"'plate', 'fork', 'spoon', 'knife', 'bowl', 'cup', 'glass', 'bottle'",31,plate,fork,spoon,knife,bowl,cup,glass,bottle
fork,spoon,bottle,plate,glass,cup,knife,bowl,center,"'plate', 'bowl', 'knife', 'fork', 'spoon', 'cup', 'glass', 'bottle'",58,plate,bowl,knife,fork,spoon,cup,glass,bottle
bottle,fork,glass,cup,knife,spoon,bowl,plate,center,"'plate', 'fork', 'spoon', 'knife', 'bowl', 'glass', 'cup', 'bottle'",20,plate,fork,spoon,knife,bowl,glass,cup,bottle
