ID,sequence,coordinates,start_coordinates,length,error,strong_k,mid_k,food_k,containment
h34,cpgfksbo,"c: (9,8);p: (8,8);g: (7,8);f: (6,8);k: (5,8);s: (4,8);b: (3,8);o: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h35,gfcspkob,"g: (9,8);f: (8,8);c: (7,8);s: (6,8);p: (5,8);k: (4,8);o: (3,8);b: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h36,pkfsobgc,"p: (5,8);k: (7,8);f: (3,8);s: (6,8);o: (2,8);b: (4,8);g: (8,8);c: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h37,pkfsogbc,"p: (2,8);k: (3,8);f: (5,8);s: (6,8);o: (4,8);g: (7,8);b: (9,8);c: (8,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h38,pofkscgb,"p: (5,8);o: (2,8);f: (7,8);k: (3,8);s: (4,8);c: (6,8);g: (8,8);b: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h39,opksfcgb,"o: (2,8);p: (9,8);k: (3,8);s: (4,8);f: (8,8);c: (5,8);g: (7,8);b: (6,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h40,pbgokfsc,"p: (5,8);b: (8,8);g: (2,8);o: (3,8);k: (4,8);f: (7,8);s: (6,8);c: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h41,pcgbfkso,"p: (3,8);c: (4,8);g: (2,8);b: (6,8);f: (7,8);k: (9,8);s: (5,8);o: (8,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h42,pcsofkgb,"p: (4,8);c: (2,8);s: (3,8);o: (5,8);f: (6,8);k: (7,8);g: (8,8);b: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h43,poskfgcb,"p: (2,8);o: (4,8);s: (3,8);k: (5,8);f: (8,8);g: (6,8);c: (7,8);b: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h44,pscgfobk,"p: (9,8);s: (8,8);c: (7,8);g: (6,8);f: (5,8);o: (4,8);b: (3,8);k: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h45,pfkcogsb,"p: (5,8);f: (6,8);k: (4,8);c: (3,8);o: (2,8);g: (7,8);s: (8,8);b: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h46,pkfsgcob,"p: (8,8);k: (4,8);f: (5,8);s: (7,8);g: (6,8);c: (3,8);o: (2,8);b: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h47,pcfksbgo,"p: (9,8);c: (6,8);f: (7,8);k: (3,8);s: (5,8);b: (4,8);g: (8,8);o: (2,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h48,pocfskgb,"p: (7,8);o: (6,8);c: (3,8);f: (5,8);s: (4,8);k: (8,8);g: (9,8);b: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h49,pofkcsgb,"p: (7,8);o: (6,8);f: (4,8);k: (5,8);c: (8,8);s: (9,8);g: (3,8);b: (2,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h50,pcsfkogb,"p: (6,8);c: (5,8);s: (7,8);f: (4,8);k: (2,8);o: (3,8);g: (8,8);b: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h51,pkfsbogc,"p: (4,8);k: (5,8);f: (3,8);s: (7,8);b: (6,8);o: (2,8);g: (8,8);c: (9,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h52,pkfsgcob,"p: (5,8);k: (2,8);f: (8,8);s: (6,8);g: (7,8);c: (9,8);o: (3,8);b: (4,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h53,pkfsgcob,"p: (4,8);k: (3,8);f: (6,8);s: (5,8);g: (8,8);c: (7,8);o: (2,8);b: (9,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h54,pkfsgcbo,"p: (3,8);k: (4,8);f: (6,8);s: (5,8);g: (7,8);c: (9,8);b: (2,8);o: (8,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h55,pkfoscbg,"p: (2,8);k: (8,8);f: (6,8);o: (9,8);s: (4,8);c: (3,8);b: (5,8);g: (7,8)","[8.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
h56,pkosfgcb,"p: (8,8);k: (7,8);o: (9,8);s: (3,8);f: (4,8);g: (2,8);c: (5,8);b: (6,8)","[5.5,6.5],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4],[5.5,4]",8,0.785,p,0,0,0
